z_m,T_ci_C,T_co_C
-1.308099999999989826e+00,3.430896451444364175e+02,3.073919086472944855e+02
-1.295399999999989671e+00,3.440173788376631023e+02,3.078768825235136433e+02
-1.282699999999989515e+00,3.449422841708000078e+02,3.083626497448152008e+02
-1.269999999999989360e+00,3.458642795055554302e+02,3.088491581385349605e+02
-1.257299999999989204e+00,3.467832835345130889e+02,3.093363554416791317e+02
-1.244599999999989048e+00,3.476992152858979921e+02,3.098241893064788997e+02
-1.231899999999988893e+00,3.486119941283027401e+02,3.103126073059576129e+02
-1.219199999999988737e+00,3.495215397753752882e+02,3.108015569395133753e+02
-1.206499999999988582e+00,3.504277722904599273e+02,3.112909856385028320e+02
-1.193799999999988426e+00,3.513306120912116626e+02,3.117808407718494550e+02
-1.181099999999988270e+00,3.522299799541723928e+02,3.122710696516621738e+02
-1.168399999999988115e+00,3.531257970193069582e+02,3.127616195388598044e+02
-1.155699999999987959e+00,3.540179847945239544e+02,3.132524376488273674e+02
-1.142999999999987804e+00,3.549064651601592004e+02,3.137434711570788295e+02
-1.130299999999987648e+00,3.557911603734367532e+02,3.142346672049411040e+02
-1.117599999999987492e+00,3.566719930729066164e+02,3.147259729052579473e+02
-1.104899999999987337e+00,3.575488862828589163e+02,3.152173353481098843e+02
-1.092199999999987181e+00,3.584217634177255718e+02,3.157087016065648868e+02
-1.079499999999987025e+00,3.592905482864625810e+02,3.162000187424443993e+02
-1.066799999999986870e+00,3.601551650969133220e+02,3.166912338121123298e+02
-1.054099999999986714e+00,3.610155384601699211e+02,3.171822938722965546e+02
-1.041399999999986559e+00,3.618715933949160330e+02,3.176731459859283859e+02
-1.028699999999986403e+00,3.627232553317682573e+02,3.181637372280156342e+02
-1.015999999999986247e+00,3.635704501176089707e+02,3.186540146915393166e+02
-1.003299999999986092e+00,3.644131040199144991e+02,3.191439254933813459e+02
-9.905999999999859362e-01,3.652511437310925544e+02,3.196334167802902471e+02
-9.778999999999857806e-01,3.660844963728092125e+02,3.201224357348672811e+02
-9.651999999999856250e-01,3.669130895003236787e+02,3.206109295815913924e+02
-9.524999999999854694e-01,3.677368511068293628e+02,3.210988455928776943e+02
-9.397999999999853138e-01,3.685557096278083691e+02,3.215861310951792120e+02
-9.270999999999851582e-01,3.693695939453834285e+02,3.220727334751087483e+02
-9.143999999999850026e-01,3.701784333926939325e+02,3.225586001856135567e+02
-9.016999999999848470e-01,3.709821577582769692e+02,3.230436787521800852e+02
-8.889999999999846914e-01,3.717806972904743361e+02,3.235279167790860129e+02
-8.762999999999845357e-01,3.725739827018437609e+02,3.240112619556813911e+02
-8.635999999999843801e-01,3.733619451736074666e+02,3.244936620627283901e+02
-8.508999999999842245e-01,3.741445163601042623e+02,3.249750649787654311e+02
-8.381999999999840689e-01,3.749216283932852321e+02,3.254554186865350403e+02
-8.254999999999839133e-01,3.756932138872128348e+02,3.259346712794348946e+02
-8.127999999999837577e-01,3.764592059426120159e+02,3.264127709680388421e+02
-8.000999999999836021e-01,3.772195381514237624e+02,3.268896660866371917e+02
-7.873999999999834465e-01,3.779741446014149346e+02,3.273653050998513550e+02
-7.746999999999832909e-01,3.787229598808059450e+02,3.278396366092798644e+02
-7.619999999999831353e-01,3.794659190829338513e+02,3.283126093601983939e+02
-7.492999999999829797e-01,3.802029578109576278e+02,3.287841722483112221e+02
-7.365999999999828241e-01,3.809340121825918573e+02,3.292542743265475451e+02
-7.238999999999826684e-01,3.816590188348866377e+02,3.297228648119159971e+02
-7.111999999999825128e-01,3.823779149290498367e+02,3.301898930924120350e+02
-6.984999999999823572e-01,3.830906381552946982e+02,3.306553087339619879e+02
-6.857999999999822016e-01,3.837971267377501476e+02,3.311190614874393532e+02
-6.730999999999820460e-01,3.844973194394090683e+02,3.315811012957285016e+02
-6.603999999999818904e-01,3.851911555671092060e+02,3.320413783008299333e+02
-6.476999999999817348e-01,3.858785749765774540e+02,3.324998428510336339e+02
-6.349999999999815792e-01,3.865595180775135304e+02,3.329564455081421102e+02
-6.222999999999814236e-01,3.872339258387210066e+02,3.334111370547436763e+02
-6.095999999999812680e-01,3.879017397932874474e+02,3.338638685015420151e+02
-5.968999999999811124e-01,3.885629020438211683e+02,3.343145910947450261e+02
-5.841999999999809567e-01,3.892173552677270436e+02,3.347632563234965914e+02
-5.714999999999808011e-01,3.898650427225426256e+02,3.352098159273724036e+02
-5.587999999999806455e-01,3.905059082513203634e+02,3.356542219039216661e+02
-5.460999999999804899e-01,3.911398962880737713e+02,3.360964265162763809e+02
-5.333999999999803343e-01,3.917669518632474706e+02,3.365363823007827477e+02
-5.206999999999801787e-01,3.923870206092792046e+02,3.369740420747241956e+02
-5.079999999999800231e-01,3.930000487661831130e+02,3.374093589440662981e+02
-4.952999999999798675e-01,3.936059831871990582e+02,3.378422863112639334e+02
-4.825999999999797119e-01,3.942047713444989085e+02,3.382727778831222167e+02
-4.698999999999795563e-01,3.947963613349284060e+02,3.387007876786917109e+02
